Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.767675685,-6.255527085,-2.988695986,2.3740378,3.247181917,-1.600006737,-1.199990525
Channel Islands,CHI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..
Chile,CHL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.1519425,1.753038749,1.357695373,3.990029478,0.770539584,-5.978224062,11.6682247
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.041328879,6.848762205,6.947200793,6.749773833,5.950500754,2.239701857,8.109792581
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392,-7.048151208,10.67701307
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.147350761,3.320446562,3.815762877,3.642451138,1.760780239,-0.195556827,2.112195577
"Congo, Dem. Rep.",COD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.91616712,2.399398914,3.726947653,5.8211211,4.384528881,1.735422764,6.200154011
"Congo, Rep.",COG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.550581765,-10.78323827,-4.382530946,-4.805351558,-0.086885958,-6.239319632,-2.200002606
Costa Rica,CRI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.652080968,4.204323252,4.157698963,2.615904404,2.417511818,-4.050908171,7.579565299
Cote d'Ivoire,CIV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.194090645,7.179207824,7.359638088,6.89028432,6.231709513,1.978821183,7.03796
Croatia,HRV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.522292277,3.559359482,3.412467822,2.800676199,3.42100553,-8.580343021,13.07220492
